[2026-03-23 13:34:28] 
--- INICIANDO NAVEGACIÓN HACIA: CASA ---
[2026-03-23 13:38:18] Pos: [8.298528, -62.716639] | Meta: 78.4m | Ideal: 210° | IMU: 217° | Err: -7° -> SIGUE DERECHO
[2026-03-23 13:38:20] Pos: [8.298535, -62.716640] | Meta: 79.0m | Ideal: 210° | IMU: 185° | Err: 25° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:22] Pos: [8.298538, -62.716639] | Meta: 79.4m | Ideal: 210° | IMU: 101° | Err: 109° -> GIRA A LA DERECHA
[2026-03-23 13:38:24] Pos: [8.298543, -62.716641] | Meta: 79.8m | Ideal: 210° | IMU: 84° | Err: 126° -> GIRA A LA DERECHA
[2026-03-23 13:38:26] Pos: [8.298545, -62.716636] | Meta: 80.3m | Ideal: 210° | IMU: 74° | Err: 136° -> GIRA A LA DERECHA
[2026-03-23 13:38:28] Pos: [8.298545, -62.716631] | Meta: 80.5m | Ideal: 210° | IMU: 141° | Err: 69° -> GIRA A LA DERECHA
[2026-03-23 13:38:30] Pos: [8.298543, -62.716628] | Meta: 80.5m | Ideal: 211° | IMU: 178° | Err: 32° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:32] Pos: [8.298539, -62.716628] | Meta: 80.1m | Ideal: 211° | IMU: 144° | Err: 67° -> GIRA A LA DERECHA
[2026-03-23 13:38:34] Pos: [8.298541, -62.716624] | Meta: 80.5m | Ideal: 211° | IMU: 174° | Err: 37° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:36] Pos: [8.298537, -62.716625] | Meta: 80.1m | Ideal: 211° | IMU: 172° | Err: 39° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:38] Pos: [8.298528, -62.716623] | Meta: 79.4m | Ideal: 212° | IMU: 175° | Err: 37° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:40] Pos: [8.298524, -62.716625] | Meta: 78.9m | Ideal: 212° | IMU: 175° | Err: 37° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:42] Pos: [8.298516, -62.716620] | Meta: 78.3m | Ideal: 212° | IMU: 174° | Err: 38° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:44] Pos: [8.298503, -62.716615] | Meta: 77.5m | Ideal: 213° | IMU: 173° | Err: 40° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:46] Pos: [8.298496, -62.716617] | Meta: 76.7m | Ideal: 213° | IMU: 174° | Err: 40° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:48] Pos: [8.298482, -62.716619] | Meta: 75.2m | Ideal: 214° | IMU: 174° | Err: 40° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:50] Pos: [8.298476, -62.716622] | Meta: 74.6m | Ideal: 214° | IMU: 173° | Err: 41° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:52] Pos: [8.298476, -62.716625] | Meta: 74.3m | Ideal: 214° | IMU: 173° | Err: 41° -> GIRA LEVEMENTE A LA DERECHA
[2026-03-23 13:38:54] Pos: [8.298470, -62.716631] | Meta: 73.4m | Ideal: 214° | IMU: 173° | Err: 40° -> GIRA LEVEMENTE A LA DERECHA
